prompt,completion
"40, woman, invisibility"," 

Ellen is a 40-year-old woman with brown eyes and shoulder-length wavy brown hair. She stands at approximately 5 foot 8 and has a slim build. Despite her age, she keeps her body in top physical condition due to her superpower of invisibility. Ellen is an incredibly patient and resilient person, but she is also bold, decisive and determined. 

She wears a long silver coat to always have something visible when using her power. Whenever she requires it, she focuses and her body fades out of the human spectrum until she is totally invisible. Ellen can also turn invisible objects into visible again, re-entering the visible spectrum. Even in her invisible state, she can still hear and see the world around her."
"40, woman, read in the thoughts","

This woman stands 5'4"" tall and is athletically built. She has cropped dark hair and bright blue eyes with a complexion that's softly tanned from the sun. She loves accessorizing-- statement earrings, colorful scarves and fashionable hats are her thing. She has a sharp wit and smart sense of humor, a certain calmness radiating out from her. With her superpower of being able to read minds, she is able to understand people and situations in ways that the average person can't. Her superpower enhances her natural intuition and helps her make wise decisions. She's a leader, not a follower, and wise beyond her years."
"40, woman, read in the thoughts","

A forty-year old woman stands tall, with brown hair cascading past her shoulders. She has intense, golden-brown eyes that show the nature of her soul - kind, patient, and intuitive. Her superpower is the ability to read the thoughts of those around her. Whether it be fear, doubt, or joy - she can detect it all. She uses this knowledge to help others, offering comfort and assurance to those in need. Her superpower is a blessing, enabling her to use her empathy towards the betterment of those around her."
"40, woman, read in the thoughts","

A forty-year-old woman stands tall and proud, her curves a testament to a life well lived. Her sparkling eyes tell of her confidence and enthusiasm for life. She stands out amongst those around her, for not only her beauty and grace but her special superpower of being able to read thoughts. Her vision sharp and keen, she can easily access the minds of those near her, allowing her to evaluate their intentions without having to utter a single word. She is a formidable force in society, destined to make a real difference. Her power never sways her from her moral compass, ensuring she always uses her gift for good."
"40, woman, turning lead into gold","

Belinda is a 40-year old woman with long, wavy, chestnut hair and a bright, infectious smile. Her body is lithe and sinewy, and she moves with a certain grace that can't quite be explained. Though her powers have been with her since birth, she only recently has begun to understand their potential. She can turn lead into gold with a wave of her hand, but only in small quantities. To use her power in larger scale requires intense effort from her. She loves helping others with her powers, and her connection to the universe is one of her most cherished possessions."
"40, woman, turning lead into gold","

40-year-old Melissa is a petite woman of average height, standing at 5'4"" tall. She has brilliant blue eyes and a head of thick, dark hair that falls just past her shoulders. Her fair skin is often lightly tanned from outdoor activities and she prefers comfortable, neutral clothing for her day-to-day. She radiates a calm serenity and wisdom, having harnessed her extraordinary power over the prior years-- Melissa can change lead into gold. With a single, magical wave of her hands, she instantly turns lead into piles of glimmering gold. She often uses her power to help people in need, hoping to aid others with her incredible gift. Melissa is truly amazing."
"40, woman, turning lead into gold","

She was a forty-year-old woman with curly brown hair, hazel eyes, and a slender figure. Her face was lit up by a beautiful smile, often creased with laughter. Though her superpower was an incredible ability to turn lead into gold, she kept it a secret from all but her closest friends and family. She knew it was a blessing and a curse, but she never wanted people to view her differently because of it. Her spirit was gentle, yet strong, and her heart was full of courage and love. She always did her best to use her superpower wisely and to improve the lives of those around her."
"40, woman, immortality","

Melanie is a 40-year-old woman who appears to be in her mid-twenties. She has a slim figure, wavy blond hair, bright blue eyes, and a serious but friendly face. As a result of her superpower of immortality, she doesn't seem to age or get sick. In addition, she has the ability to heal quickly from any physical injury. She's very independent, strong-willed, and driven, but she also cares deeply for those around her and is always willing to help. In her free time, she likes to travel, try new experiences, and keep up with current events. Her kind heart, intelligence, and resilience make her an inspiring figure to many."
"40, woman, immortality"," 

This 40-year-old woman is of average height with shoulder length brunette hair and striking green eyes. Her skin is lightly tanned and smooth, never changing with time. She moves gracefully, and speaks with a deep and soothing voice. 
She wields her superpower of immortality with great ease, never aging a day past 40 and possessing an uncanny knowledge of the future. She is brave, tempered with caution and educated with wisdom. All those she interacts with are mystified by her unmeasurable grace and sort of aura she carries with her. She is reliable, trustworthy, and always positive."
"40, woman, immortality","

A 40-year-old woman of average build, she appears to be ageless with her soft, fair skin and clear brown eyes. She carries an aura of mystery, her mysteriousness often as confounding as her gift of immortality. Her long, dark hair is bound in a tight braid, her clothing elegantly simple and timeless. She moves with an effortlessness and quiet grace befitting a goddess; her gentle yet confident energy radiates from her. Her warm smile engenders feelings of calm, her intelligence and wisdom making her a great source of comfort and solace. Her voice is soothing, her presence one of power and tranquillity. Forever youthful, she stands as a reminder of life’s unending possibilities."
"40, woman, telepathy","

She stands tall and proud, her 40 years of life radiating confidence from her steady gaze. Her white-blonde hair is tucked neatly away, and her ice blue eyes draw in whoever they meet. She wears a fitted shirt and a long navy skirt and strides on confident feet. Her superpower of telepathy is a force to be reckoned with, her telepathic thoughts clear and powerful. She can sense the thoughts and emotions of those around her, allowing her to know their innermost secrets. Her strength and wisdom have seen her through many challenges, and her mind remains powerful and focused. She is a true psychic, unafraid and full of courage."
"40, woman, telepathy","

Joanna is a forty-year-old woman with shoulder-length brown hair and gentle hazel eyes. She stands at an average height and has a slender build. Joanna is smart, kind and gentle, rarely raising her voice and always preferring calm and collected solutions to problems. But she has a secret superpower. She can read the minds and hear the thoughts of those around her - not by choice, but as something that comes naturally to her. She has complete control over her power and she is able to learn more and more about people as she uses her telepathy - things that they would never share or even be aware of themselves. Joanna understands the power that she wields and is ever-mindful of not abusing it, always striving to help those around her."
"40, woman, telepathy","

Laurie is a forty year old woman with shoulder-length black hair, deep brown eyes and a radiant, confident smile. Her superpower of telepathy is both extraordinary and daunting for her, giving her the ability to read the thoughts of anyone she deems fit. She uses this ability to help as many people as she can, always abiding by her own moral code. She has amazing control of her power and is careful of the consequences of using it too often. Though her superpower can be a strain on her, Laurie radiates an undeniably magnetic and passionate energy."
"40, woman, teleport","

This forty-year-old woman stands at 5’6”, with a slender build and auburn hair that falls just above her shoulders. She moves with a certain grace and confidence, and her mocha-colored eyes seem to sparkle with a hint of knowledge and mystery. She wears a black leather jacket over a deep green dress that is chic and sophisticated. Her superpower of teleportation allows her to move from one place to another, in any direction, in the blink of an eye. Wherever she goes, her presence is felt strongly, and it is clear that she is a force to be reckoned with."
"40, woman, teleport","

This 40-year-old female superhero stands at five foot four inches and has an athletic figure with short, sandy blond hair. She has an ownerless quality, with a wildness to her that hints at her power of teleportation. A bluish shimmer often appears around her body whenever she teleports within a nearby distance. She is clever and shrewd, often beating her enemies with her wits even before her powers come in to play. Her trusty leather jacket and long boots make her seem invincible. The woman embodies strength, courage, and independence, jumping from one dimension to the next with ease. Her superpower of teleportation has made her a force to be reckoned with."
"40, woman, teleport","

Estelle is a 40-year-old woman who has the superpower of teleport. She stands at 5'4, has long, brown hair, and striking gray eyes. Her slim frame and pale complexion give her a mysterious air. Estelle wears her long hair in a simple braid, often with wisps of hair trailing down her neck. She wears understated, warm-toned clothes usually in shades of gray, tan, and brown. Her superpower of teleport gives Estelle the ability to instantly appear anywhere around the globe with great accuracy. She can also teleport objects or living creatures. Whether she is journeying to far-off lands or simply traveling around town, Estelle enjoys using her powers to explore the world."
"40, woman, flight","

She is a 40-year-old woman with an impressive physique. She towers at six feet tall and has feather-like, golden locks that cascade down her back aligned with the aura of someone with immense power and poise. She has the kind of presence that draws people into her like an invisible force. Her superpower is the ability to soar the skies freely, unrestricted by gravity, using her wings. With vibrant red feathers as soft as silk that glisten with each stroke and sparkle against the rays of the sun, she appears almost angelic as she takes flight. She is fearless and powerful, with a playful attitude that enchants everyone around her. A true wonder of nature, she proudly shows her strength and determination."
"40, woman, flight","

Kara, a 40-year old woman, stands tall and proud with an effortless grace. Her hazel eyes are piercing and her coffee-shaded skin is flawless. Her Scarlet-streaked mahogany hair falls to her shoulder blades, framing her heart-shaped face in a captivating manner. She holds herself with a self-assured bearing that is sometimes intimidating. She is strong and resilient.

Kara is an empowered woman with a special superpower – the ability to fly. This gift gives her the excitement of an adventurer but with the safety of a superhero. When she soars over the landscapes in a couple of seconds, Kara feels liberated – the wind carrying her from place to place, exempt from the struggles of life down on the ground."
"40, woman, flight","

Ana is a 40-year-old woman with curly jet-black hair cascading down to her shoulders. She has a strong, fit physique, honey-colored eyes and bronze-tinted skin. Ana's superpower of flight offers her the freedom to soar over clouds and circumnavigate the globe. Her endurance and speed is unmatched as she cannons through the sky, whether to reach a job interview in time or to deliver a much-needed package to someone short on cash. To her, the sky is truly the limit. Ana loves her power and uses it to lift the spirits of those around her while also using her strength and agility to help those in need."
"50, man, invisibility","

At 50 years old, the man stands tall at 6'0 with a slim, muscular build. His wavy salt and pepper hair is cut close-cropped, complimenting his regal and distinguished features. With incredible charcoal eyes that seem to know no bounds, his gaze speaks of a vast intellect and tremendous power. The man's superpower of invisibility permits him to move through his world undetected. What remains, however, is an increasingly powerful and impactful aura; so too, a somewhat intimidating presence that can be felt within his presence. His demeanor exudes quiet confidence and assuredness, knowing that his age and experience allow him to effortlessly navigate and take command of any situation. Despite his powers, the man carries himself with pride and poise, and is humbly grateful for the gifts he has been blessed with."
"50, man, invisibility","

Standing at 6', this 50-year-old man has short, salt-and-pepper hair and piercing blue eyes. He possesses an intimidating presence, but you can never fully make out his features as he has the superpower of invisibility. He wears a black leather jacket over a black t-shirt, and blue jeans that fit snug around the ankles. His steely gaze and strong jawline suggest a deep intelligence and inner strength. His superpower of invisibility allows him to slip through shadows, go undetected, and sneak up on anyone or anything with startling accuracy. He views invisibility as a gift and uses it to take down anyone who tries to hurt those in need."
"50, man, invisibility","

He was a 50-year-old male with an average build and above-average height. He had a distinguished appearance, with elegant cheekbones, a lightly stubbled chin, and kind, hazel eyes framed by a pair of glasses. He wore a dark tailored suit. His superpower of invisibility enabled him to turn himself completely invisible, allowing him to move past people undetected, no matter how close the were to him. He could use this power to identify potential threats in difficult environments, helping his allies stay out of harm's way. His ability to be seen and not to be seen gave him a sense of solitude, allowing him to think and plan his moves in a way that normal people could not."
"50, man, read in the thoughts","

A fifty year old man with deep set eyes tucked behind large round glasses, slightly graying hair and a gaunt yet rounded face. He appears to be quite gentle and sprightly despite his age. His superpower is to read peoples' minds. He can listen to conversations even from a great distance, as if he is standing right beside them. His ability to understand thoughts and emotions give him a unique understanding of people. While his power is a great gift, it can also be a burden; he is privy to all the secrets and true natures of those he encounters."
"50, man, read in the thoughts","

This 50-year-old man is 6 feet tall, has a slim but fit build, and is deeply tanned from his long days spent in the sun. He has a bald head and intense eyes with an unreadable expression that hides his superpower of being able to read thoughts. When he wants to, he can access the inner workings of people's minds. His powers come with a great responsibility, which he personally holds close as a reminder of the choices he must make in life. A born leader, he prefers to take charge whenever needed, but is also calm and collected in the face of difficult situations."
"50, man, read in the thoughts","

He is a 50-year-old man, with a medium stature, broad nose, thinning grey eyebrows, and a well-trimmed mustache. His eyes are hazel, wise and insightful, but also with a hint of gentleness. His superpower lets him read other people's thoughts, deriving powerful knowledge from everyone he meets. With this ability, he can easily assess the situation and make wise decisions, able to act in a way that can benefit the greater good. His closeness with his superpower makes him extraordinarily sharp and aware, always cleverly observing and picking up on the subtle cues in the environment. But at the same time, he knows how to appreciate other’s private moments and remain respectfully silent."
"50, man, turning lead into gold","

Walter is a 50-year-old man with a strong athletic build. He has thick black hair and a kind face. His eyes are deep brown with an intensity that speaks of a powerful inner strength. He is modestly dressed in simple clothing, but you can tell he has a regal presence. He has the superpower of alchemy - the ability to turn lead into gold - though he rarely uses it. He is an honorable man, and he approaches all matters with respect, intelligence, and wisdom. He is compassionate and always puts others before himself. Few know of his true power, but those who do recognize him as an insightful savior."
"50, man, turning lead into gold","

This 50-year-old man stands at 6 feet tall, and he is endowed with a slim body build and tanned skin. His clear and distinct facial features hint his origins outside his current city: from brown almond eyes to a prominent nose and a firm, clear jawline. His salt-and-pepper hair are neatly cut and brushed away from his face. He has a calm and welcoming demeanor, and often wears an earth-toned jumpsuit and a robe that conceals his true nature - the superpower of turning lead into gold. His hands are often adorned with a simple gold ring, a symbol of the gift bestowed upon him."
"50, man, turning lead into gold","

Tall and weathered-looking, 50-year old Ben had a head full of silver hair, a distinguished face, and a constant twinkle in his eye. He was a kind-hearted man, but his superpower made him a force to be reckoned with. With a wave of his hand, he was able to make lead in whatever form, into solid gold. It wasn’t a trick or magic; it was a simple transmorphiation of the element, and no one else had the power to do what he could do. Despite his strength, Ben was modest, and he always used his power to do good and never to take advantage. He was a hero who lived by the same rule: with great power comes great responsibility."
"50, man, immortality","

Mason wears his age well, having the smooth complexion of a young man with few wrinkles. He stands tall and proud, exuding a stoic confidence beyond his years. His medium-length, dark hair is slicked back, making his deep blue eyes the focal point of his face. He dresses casually, mostly in jeans, however he always sports a crisp, white shirt. His superpower of immortality lends him a mysterious air. He moves quickly and conveys an aura of perpetual alertness. Remarkably able-bodied and energetic, he gives off a never-ending sense of youthfulness, with a wisdom and boldness that comes from having decades of experience."
"50, man, immortality","

John is a 50-year-old man who has retained his youthful appearance and energy due to his superpower of immortality. He has blonde hair with strands of silver subtly scattered throughout, his deep blue eyes sparkle with amusement, and his strong jawline is perfectly framed by his prominent cheekbones. His clothing is fashionable with a hint of vintage, and he moves with confidence and grace. Despite his superhuman powers, he’s quite humble and never takes advantage of his abilities; instead using them to benefit others. He’s incredibly intelligent, knowledgeable, and wise; able to offer valuable advice to anyone in need. He's one of the most beloved characters in his community due to his generosity and warm personality."
"50, man, immortality","

Gently weathered features adorn his handsome face. His strong gaze shines with warmth and wisdom, suggesting countless years of experience. Pale silvery hair falls in disarray around his ears, framing an ageless visage. The long half-cape that hangs from his shoulders is gently tattered from the years, yet remains impervious to the damage of time. His hands are calloused, indicating a life of hard work. His clothing is dated but tasteful, conveying notes of timeless elegance. Despite the years, the man stands tall and strong, his presence radiating with a gentle, mysterious power. He is a man of 50 years, and yet, he will never age. He carries immortality with him, through the endless years."
"50, man, telepathy","

This 50-year-old man is tall and athletic with dark hair, piercing blue eyes, and a strong jawline. His incredibly powerful telepathy allows him to communicate without speaking, read other people's thoughts and project his own thoughts. He has an intense level of concentration and focus, enabling him to problem solve quickly and accurately. His telepathic connection with the world around him is so strong, he can detect any change in the atmosphere. Most impressive of all, he can even reach into the minds of others and share his own opinions or even extract secrets. His immense power is both a blessing and a curse, one he struggles with daily. His experience and poise gives him the ability to lead, inspire and protect."
"50, man, telepathy","

Meet Mark, a 50-year-old man with a power few have possessed. He has the superpower of telepathy: the ability to read, understand, and influence the thoughts of others purely through thought. He can tap into the collective conscious through his own mind, feeling the thoughts and emotions of people around him. With this, he can use his power to help those in need, as well as manipulate the memories and emotions of others. He can also connect with large groups of people at once, extending his reaches far and wide. Mark is a powerful being, capable of wielding a great force in the world."
"50, man, telepathy","

Fifty-year-old Joe was a tall, slim and distinguished man with a strong jawline and a sharp, intelligent gaze. He dressed smartly and wore his navy hair combed back. He had the superpower of telepathy, enabling him to read others' thoughts, as well as communicate with them mentally. Joe was a recluse, preferring to stay away from people and adopting a solitary lifestyle for most of his life to better focus on expanding his skills. He had a calm and collected demeanor, yet his eyes were filled with a keen knowledge of the world he could never fully share. Though he rarely used his abilities, when he did, it was with a superb level of power and finesse."
"50, man, teleport","

This 50-year-old man stands tall with short cropped dark hair and brown eyes. His face is slightly weathered with a slight smile, hinting at years of wisdom earned. He often wears earth tones, a beige flat caps and sturdy boots, nothing too flashy or extraordinary, except for the thin, silver ring clasped tightly to his left hand. His superpower of teleport allows him to traverse time and space at will. Whenever he finds himself needing to go somewhere, he just focuses, takes a deep breath and poof! With a burst of bright light, he is teleported to the exact spot he had just been thinking about."
"50, man, teleport","

He is a middle-aged man, slightly graying at the temples and sporting a rough, near intimidating look. He stands a burly 6 feet 3 and carries himself with an intimidating posture. Despite his aged appearance, his body is still in peak physical condition. The ancient tattoos on his arms draw focus to his defining feature: a strange, glowing portal that he constantly has open in front of him. With an effort of thought, he uses this power to teleport to any desired location in an instant. His powers have made him something of a superhero to those close to him."
"50, man, teleport","

He is a tall, thin 50-year-old man with short graying hair. His bright, blue eyes sparkle with both wisdom and experience, and his tanned skin is lined with the hints of a life well-lived. He always appears well-dressed in a sleek suit, vest and classic fedora. 

He moves with the grace of someone used to their power, his steps so quick it almost appears he is teleportation. While his ability to instantly transport from one place to another is impossible to miss, he rarely uses it for the public's benefit. Instead, he uses his power to amass wealth and secrets that he hoards away for himself."
"50, man, flight","

Standing at 6'1, this 50-year-old man has a strong and imposing presence. His face is rugged and weathered, with wrinkles that speak of a life of adventures. His bright blue eyes are full of life and determination. His jet black hair is closely cropped and peppered with a hint of grey. His body is toned and solid, able to launch himself into the sky with grace and agility.

This man has the unique ability to fly, amongst other superhuman abilities. He moves powerfully and swiftly through the air, using his wings for extra velocity. On the rare occasion that anyone catches a glimpse of him, they are awestruck by his incredible power and are often captivated by the sheer intensity of his presence."
"50, man, flight","

Strikingly handsome, with a thick head of salt and pepper hair reminiscent of the mane of a mighty lion, this fifty-year-old is an entirely unassuming man. Donning a long black trench-coat, a simple dress shirt, crisp slacks and freshly shined shoes, he is the image of poise and sophistication. But under the pages of his wardrobe, lies a remarkable power. Granting him the ability of flight, he ascends to the skies with the grace of an eagle, soaring swiftly through the clouds, unencumbered by the grip of gravity. His intuitive sense of direction allows him to traverse distances quickly and with relative ease. His strength and experience are unparalleled."
"50, man, flight","

At 50 years old, he stands tall with a strong jawline and piercing gaze. His thick, dark hair is lightly frosted with grey and hangs just above his shoulders, and though his face is weathered from a life of adventure, he cuts an imposing figure. Across his broad chest and strong arms is a stark white cloak with a hood, shifting in the wind as he takes to the sky with powerful, graceful sweeps of his arms. With a single deep breath, he takes off on the breeze, his white cloak billowing around him like a wave and the crisp air rushing against his skin. He is the master of the air and defies the laws of gravity like no other. He revels in every minute of his flight, as pure as a spirit in the clouds."
"50, woman, invisibility","

This 50-year-old woman stands at a confident 5'8"" and her hair is the deep brown of forgotten mahogany. Her eyes have the same piercing blue as the ocean and her sharp, angular features reflect a sharp intelligence. She casts an elegant, although sometimes slightly unapproachable, aura. Her superpower of invisibility is restrained and focused, allowing her to traverse the world unseen. She moves quickly and silently, her strong muscles allowing her to stay powerful despite her hidden form. Her presence is barely detectable, a shimmer in the corner of the eye and the faintest tingle of electricity in the air - the last hint of a once-in-a-lifetime power."
"50, woman, invisibility","

Elena is a fifty year old woman living a quiet life in the small town of Southbound. She has shoulder length silvery hair and bright green eyes, which often twinkle with amusement or sparkle with determination. Though her frame is small and unassuming, she is a formidable force. Elena has the power of invisibility, which she keeps hidden from the world. She can disappear from sight with a single thought, allowing her to explore and experience the world around her without getting caught. Elena often uses her superpower to help those in need, blending in and out of sight to provide aid where it is needed."
"50, woman, invisibility","

She is a 50 year-old woman of medium height and average build, with an air of confidence surrounding her. She has light brown hair streaked with grey, hazel eyes, and an impish smile that often belies her ability to disappear from sight. Her superpower - invisibility - allows her to become completely invisible for up to five minutes at a time. She has learned to use her invisibility in dozens of ingenious ways, becoming quite a formidable force. From infiltrating sensitive locations undetected to essentially ""erasing"" herself when the moment calls for it, she has become a master of disguise. Though her age belies her bravery, she can often be found on the front-lines fighting for good and justice."
"50, woman, read in the thoughts","

A fifty-year-old woman, with jet black hair pulled into a tight bun, sits calmly, hands resting in her lap. Appearing youthful for her age, her soft green eyes bear a hint of mischief and the faintest of smiles. A power lies within her: the superpower to read thoughts. From the minds of others, she can sense feelings, glean information and unlock secrets--all without a single word or gesture. She is both unassuming and powerful, a master of her craft and an enigma to those who don't know the full extent of her mental prowess."
"50, woman, read in the thoughts","

Clara is a 50-year-old woman with long blonde hair and gentle blue eyes that seem to see through everything. She has a slender physique, and she speaks with a humble grace that puts everyone at ease. She is a true hero, whose superpower is the ability to read the thoughts of others without speaking a word. When she concentrates, her pupils become distant and those around her often feel a chill breeze as if a secret has been revealed. Clara is an enigma, yet her compassion for others is evident, and she is determined to use her ability to protect those in need and fight for justice."
"50, woman, read in the thoughts","

A 50-year-old woman with shoulder-length grey hair and bright green eyes stands tall and confident. Her athletic figure attests to a lifetime of yoga and running in the park. Her skin, slightly wrinkled, is a reminder of her many years of experiencing the world. Behind her confident gaze is her superpower: the ability to read the thoughts of those around her. Rumoured to have derived this gift from a special necklace, this woman is a powerful force. Her kind exterior masks the knowledge she possesses; she has experienced and seen too much to be easily fooled. Watchful and thoughtful, she has become a master of understanding the hidden truth of others."
"50, woman, turning lead into gold","

This 50-year-old woman has a mysterious air about her. She stands tall with mysterious dark eyes, and an authoritative voice that commands attention. Her power to turn lead into gold is an awe-inspiring ability that has propelled her to become a powerful figure in her home town. She enjoys using her power to help those less fortunate and is known for her charitable nature and her great wisdom. She has traveled the world and dreamed of all the wonderful things she could bring to her hometown with her superpower. Her journey of self-discovery has made her ever more powerful. She is a leader, and a source of strength and hope to those around her."
"50, woman, turning lead into gold","

Mildred is a 50-year-old woman who stands just 5 feet tall with a slight frame. She has dark hair with subtle touches of grey at the temples that falls in soft waves just below her chin. She has bright blue eyes that seem to sparkle every time she smiles. 

Mildred's power of transmutation allows her to turn ordinary lead into shimmering gold at the slightest thought. She can also sense the presence of metal when near it. Her power has earned her the title ""Mildred the Golden.” She often uses her ability to help people, and her kind and compassionate nature has endeared her to many."
"50, woman, turning lead into gold","

A fifty-year-old woman walks down the streets of a bustling city. Her shoulder-length blonde hair is peppered with silver strands, and her piercing brown eyes show both wisdom and experience. A white cotton dress with blue floral patterns complements the delicate gold necklace around her neck. Though she appears ordinary at first glance, her superpower of transmutating lead into gold speaks of her illustrious past. Her magical ability is both a blessing and a curse, for she has used it to both protect those she loves and save them from harm. Yet, her power also attracts those longing only to use it for their own ends, causing her to constantly be on the alert."
"50, woman, immortality","

This 50-year-old woman appears to be in her 30s, her youthful features as vibrant as ever, with a steady gaze and a often tranquil expression. Her shoulder-length brown hair is framed with a few strands of uneven golden highlights, her soft heart-shaped face crowned with a curved forehead. Her seemingly-invincible form is draped in an effortless style of clothing, typically casual and never outdated. Her eyes reveal a wisdom, agelessness, and serenity that can only come with immortality, her aura radiating a powerful strength. Despite her agelessness, she embraces each new age and lives life to its fullest."
"50, woman, immortality","

This 50-year-old woman is a living testament to the power of immortality. Her nearly ageless beauty was the envy of many, with her flawless ivory skin, long, luscious wavy blonde hair, and bright teal eyes. Her sharp facial features only serve to enhance her aura of timelessness. She wears ornately detailed garments that seem to drift gently in the breeze, adding to the mystery of her superpower. She moves with a graceful, effortless strength, and carries a deep knowing that reveals the centuries of wisdom within her. Her supernatural power of immortality gives her the ability to be eternal —never age, never fade, never die."
"50, woman, immortality"," 

This woman has golden hair that reaches her lower back, soft blue eyes, and a bright, warm smile. Her complexion is smooth but translucent, hinting at her agelessness. Her personage emits a regal aura, gaining admiration from those who cross paths with her. She wears robes of white and gold that are inlaid with intricate symbols of power and reverence. Her superpower of immortality has been passed down through generations, and she wields it with great caution. She is a wise and powerful figure who has seen it all, yet she is still gentle and nurturing. Hers is a presence that radiates throughout any room she enters."
"50, woman, telepathy","

Claudette is a tall and slender woman with gentle brown eyes, deep wrinkles, and salt-and-pepper hair that she often keeps tied back in a bun. Her face displays the wisdom of her years, along with an aura of calming peace that is undeniable. Her superpower of telepathy is her greatest gift, and it has served her well: when connected with others, she can both feel their emotions and sense their thoughts. Her words always carry a knowing and understanding, and her presence is often sought out to share messages of peace, comfort, and clarity."
"50, woman, telepathy","

Fifty year-old Natalie is a woman of average height, slim and strong with an air of authority. Her auburn hair is shot through liberally with grey, reflecting the wisdom she has gained over the years. Natalie wears sensible, stylish attire and has piercing blue eyes that seem to carry a slight weight, hinting at the secrets they've seen. She has the superpower of telepathy, being able to read and communicate with people's thoughts, as well as delve deep into their minds and memories. Natalie is gentle and wise when using her ability, making sure to use it responsibly and help others when she can."
"50, woman, telepathy","

The fifty-year-old woman has the superpower of telepathy; she can read minds and control them at will. She stands tall and proud, with her jet black hair tumbling down her back. She is dressed in long, sleek robes of crimson, with golden embroidery on the edges and a belt of pearls around her waist. Her face is a mask of agelessness, her eyes, a deep sapphire that captivates those who she looks upon. Her superpowers allow her to know what is transpiring around her; she can even see into the future if she chooses. Telepathy has become an integral aspect of her life, her secret power."
"50, woman, teleport","

This 50-year old woman stands tall, with a slick blonde bob and deep blue eyes. She wears white linen trousers and a colorful sleeveless blouse, moving with the air of confidence carried by those who know their strengths. Her superpower of teleportation is one she uses daily, allowing her to explore the world in remarkable ways and remain connected to the universe around her. With a simple flick of her wrist, she can create portals of energy and transport herself across distances instantaneously, allowing her to explore the depths of the universe and access any corner of the world. Her enduring power of teleportation has given her exceptional freedom to live, explore, and experience the world in a way few others have."
"50, woman, teleport","

A 50-year-old woman with a medium build and just enough curves in the right places stands confidently before her peers. Shiny, short-cropped hair framing her face, her penetrating dark eyes hint at the secret superpower that lies within. Her ready, wide smile reveals fresh, pearly-white teeth and sparkling, silver piercings on her ears. Her superpower of teleportation means that she could be anywhere, any place, any time at a moment’s notice. Her playful appearance often belies her formidable strength and power, making her an asset to her team."
"50, woman, teleport","

Lena is a 50-year-old woman with an air of grace and wisdom about her. Over the course of her long life, she has mastered the ability to teleport herself to any desired location. She wears an elegant and stylish wardrobe, and her bright blue eyes sparkle with life. Her chocolate brown hair is usually tied up in a tight bun. She is surprisingly fit and strong for her age, owing to all the physical exertion involved in teleporting. Lena is protective of her powers and keeps her ability secret from the world. She is an independent woman with a strong sense of self and a fondness for experiencing all that life has to offer."
"50, woman, flight","

Standing at 5 foot 10 inches, this 50-year-old woman has a long, slim figure with athletic curves that hint at a lifetime of activity. Her dark hair is frosted with silver highlights and cuts at her shoulders, framing a strong but friendly face with intense, knowing eyes. She has a mischievous smile that often erupts into contagious laughter. She exudes an aura of experience and wisdom, something easily attributed to her superpower of flight; soaring through the sky on wings of pure gold, giving her an effortless ability to access places inaccessible to the average person. Capable of reaching heights beyond our wildest dreams, this woman is an inspiring figure with a timeless mystery."
"50, woman, flight","

This fifty-year-old woman has the power of flight, giving her complete freedom to move around the world. Her long, dark hair falls down to her waist, framing an exquisite face with smooth skin and bright eyes. A few wrinkles have started to appear around her eyes, hinting at her age and the years of wisdom she has accumulated. She has a physique that is still quite formidable, with toned arms and a strong back hinting at the power she has over gravity. Her clothing has a practical purpose, as it allows her to soar through the air with the greatest ease and confidence. Her superpower gives her a certain sense of freedom that could never be found on the ground."
"50, woman, flight","

She stands tall and proud- a 50-year-old woman with a long, wavy mane of golden-white hair framing her face. Her eyes are a startling, brilliant blue, and her skin is dewy and slightly wrinkled. She moves with grace and power, her bearing calm yet authoritative. She wears a long, slate-gray cloak, fastened by a silver brooch in the shape of a soaring bird in flight. Her superpower is flight, allowing her to take to the sky with a single beat of her powerful wings. Her movements are effortless and beautiful, graceful in her jet-black armor. Her presence is larger than life, and she carries within herself an air of majestic confidence."
"60, man, invisibility","

This elderly yet spry man stands at an impressive 6 feet tall, his broad shoulders and swarthy complexion the result of a life of hard work and dedication. A generous sprinkle of grey leaves runs through his thick black hair. His features are stern, a sharp chin and hawkish nose, yet his gray eyes reveal generations of wisdom and humor.

He wears a tweed coat with some age-induced patches, and socks of mismatched colors. He moves with purpose through the city, a subtle energy about him indicating more than his years suggest. Only on closer inspection does one realize he has the power of invisibility, a skill he has trained over decades. An unforgettable 60-year-old man with a remarkable superpower."
"60, man, invisibility","

This 60-year-old man stands tall with gray, greasy hair and a thick, coal-colored beard. His eyes are deep and dark, piercing even as he moves through the world unseen. He is often cloaked in an old navy-blue wool coat, patched up in several places. His legs and arms seems to drift through the environment like smoke, making him almost entirely invisible. He doesn't speak much and the few times he does, his voice is low, gravelly and barely audible. He has no family nor friends except his trusted best friend, his lucky red fedora. He uses his invisibility superpower to help those in need and to provide justice. Protecting those who are unable to protect themselves, he moves through the night like the unseen wind."
"60, man, invisibility","

John is a 60 year-old man with grey hair and wrinkles on his face. He is tall and slender and his bright blue eyes give off a sense of wisdom and compassion. Despite his age, he remains physically fit, a reminder of his days as an esteemed athlete. John moves silently and gracefully, a trait made more mysterious by his superpower of invisibility. His presence often escapes notice, leaving people wondering how something can look so clear yet remain unseen. Few know of the superpower that he has managed to keep secret for so long- yet his life is full of heroic deeds that will never be known."
